id,name,anonymous,hostProgramName,graduatingYear,isAlumni,jobTitle,tagline,createdAt,queryDate,program,overallScore,overall,curriculum,jobSupport,review_body,school
269343,Felipe,0,NULL,2020,0,Unemployed,"UX UI Iron Hack Sao Paulo, be careful before you sign up. Excellent curriculum, but poor customer service.",10/13/2020,2020-10-13,"UX/UI Design Bootcamp",3.3,2.0,5.0,3.0,"(Por favor copie e cole no google tradutor se você é um futuro estudante e esta pesquisando sobre qual escola ir) Covid 19, lost my Grandpa, lost two businesses, went completely bank corrupt, and decided to sign up for the boot camp because was always... Read More one of my dreams and I used to be a very big Fã of iron hack. The boot camp for its self was perfect, a lot of things happened in my personal life in the middle and they were very supportive. But in the end, they are lacking in their customer service for their older students, they claim to have a slack Channel but they don't answer you there, they promise a T-shirt for everyone, which is very SIMPLE, and until today we got nothing, as I also need to review some of the classes that I had because they said that each class was being recorded (on zoom) and in fact was, but they won't answer you back when you need, I already sent two emails and yes they read it already ( i have a tool that shows that), but nothing, it's so frustrating because I still need to finish my portfolio to start looking for jobs, but before I wanna see a few things that I forgot, BUT they don't answer, come on guys, for a really expansive Bootcamp and a school like you guys, you guys will really fail with me because of a simple email?I even referred you guys to a friend in Portugal, and yes he joined you guys because of me. It's really frustrating. Hope this can help you guys before you signing up. It's so sad to see how you guys really get me, got my money, and left alone in the middle of a pandemic, and yes, why I say that? Because you guys promise me that everything was going to be okay, and it's not! I just need the link for the recording class, that's it! I Paid for that, that's why I think it’s the minimum thing that I could get back from you guys.Read Less",ironhack
269201,"Ozzie Zamora",0,NULL,2020,0,"UI Designer","UX/UI Design Part-Time | Miami",10/7/2020,2020-10-07,"UX/UI Design Part-Time",5.0,5.0,5.0,5.0,"A truly amazing experience, to be honest. I was part of the Part-Time UX Design course for 6 months, and I cannot really describe how much I enjoyed the process. For me, it was life-changing. I came into class with minimal background in design and walked... Read More out the door with a wide range of skillsets (from UX Research, Design Thinking, UI Design software technical skills to even project management and communication, etc.). The Ironhack Miami classroom environment is beautiful, and its location is a jewel (in the heart of Brickell).But the real value of Ironhack Miami resides in its people and staff. The social interactions, professional network, and friends that you are going to make there are gold. I cannot thank enough to my design instructors Snezana, Juno, and Jade. Big THANKS also to Brito, the Digital Talent &amp; Business Development Manager, for his constant support and advice after graduation in the Job Hunt process.All I can say is that a year ago, I was frustrated in a job with no growth, no passion, no recognition for my efforts, and today I am moving into a full-time UI Design role in a big company in the middle of a pandemic with a tough job market. Still cannot believe it, my life is about to change, and Ironhack was definitely the trigger.THANK YOU IRONHACK MIAMI SO MUCH!!!Personal advises:- If you can, create a little design foundation by learning before joining the course (Youtube, etc.). This will make you stand out- PLEASE never stop learning, during, and even after the course. Be curious and try to learn as much as you can by yourself. Just the course is not going to make you land the job or a pro. You need to have the drive and passion for it (this is were most of the people fail after the course, in my opinion)- Participate in meetups and reach out to the community for help if necessary, do not be afraidRead Less",ironhack
269141,"Sacha Dollé",0,NULL,2020,0,"Data Analyst","Great bootcamp, great team, great learning",10/6/2020,2020-10-06,"Data Analytics Bootcamp",5.0,5.0,5.0,5.0,"I use to work in advertisement and decided to move into data through a bootcamp.I was in Paris' June Data Analysis bootcamp, which were 100% remote due to sanitary reasons.The lessons were very clear, really intense of course, but the teacher were here... Read More for us exactly as if we were on the campus.We've learned a lot throught those 9 weeks, and people are always amazed to realize all we were able to learn efficiently in such a short time.I'm really glad I had the chance to attend this bootcamp, because today I'm a proud Data Analyst.Read Less",ironhack
269133,"Calypso Redor",0,NULL,2020,0,"Product Designer","Une superbe expérience",10/6/2020,2020-10-06,,5.0,5.0,5.0,5.0,"« On m’avait prévenu de ce que voulait dire « bootcamp » mais je ne m’attendais pas à un tel rythme », c’est ce que j’ai beaucoup dit en présentant la formation ironhack UX/UI. En deux mot, cette formation est une superbe expérience. Étant déjà familiaire... Read More avec le métier j’avais de grandes attentes pour cette formation et je n’en suis pas déçue. J’ai été impressionné par la qualité de l’enseignement et de l’évolution des étudiants en si peu de temps. Nous avons beaucoup appris, les projets ont étés tres formateurs. L’entraide et l’ambiance générale ont été assez exceptionnels. Nous avons réalisé la formation à distance et ce fut tellement concluant que je compte travailler en entreprise full remote très bientôt.Read Less",ironhack
269115,"Linda Mai Phung",0,NULL,2020,0,"Product Designer","Intensive as promised, supportive teachers and staffs members, good content.",10/5/2020,2020-10-05,,4.3,5.0,5.0,3.0,"I am very satisfied of my training this summer at Ironhack Paris. Even with the pandemic issues, the classes were taught easily via videoconference. I did lack the human vibe sometimes but fortunately, we could access the campus and meet with other classmates.... Read More Bootcamp: it is a very challenging training as it will take most of your evenings and week-ends (and your whole brain and mind) to learn, design and collaborate but it truly worths it: I have no hesitation anymore to prepare and rock presentations, work with a team and talk product strategy with my clients. Indeed, this training makes you confident enough to work for any early stage start-up and as a junior ux/ui designer even if you have no background in design. For the career program however, be sure to confirm what you really will get as there are re-adjusting their offer according to the current covid- situation.Read Less",ironhack
269104,"Alice Prigent",0,NULL,2020,0,,"A unique and enriching experience!",10/5/2020,2020-10-05,"Web Development Bootcamp",4.3,5.0,4.0,4.0,"I am delighted to have been able to realize a web development bootcamp at IronHack. Despite the context (covid-19), the classes went well and we received quality instruction. The pedagogical team is listening and accompanies the students as well as possible... Read More throughout the training. The content of the training is very relevant, and favors the integration into the job market after the bootcamp. As is the career service that helps us find a job after the training. A great experience, I will do it again without hesitation!Read Less",ironhack
269103,"Manon Morgaut",0,NULL,2020,0,,"Intensive but definitely worth it",10/5/2020,2020-10-05,"Web Development Bootcamp",5.0,5.0,5.0,NULL,"I decided to follow Ironhack's program in the context of changing jobs from sales to Product Management. The objective was to develop the necessary tech skills to better collaborate with a dev team in my future job. The bootcamp I followed was from June... Read More to August 2020 meaning everything was done remotely. In general I am very satisfied with this course. They have managed to adapt smoothly to only-remote classes and even in this context I found it very easy to learn and work with the other students. The morning was dedicated to class and afternoon to labs. One needs to bear in mind that this is an intensive bootcamp hence the need to dedicate some time outside the class hours to go through the class material or review the classes of the day. It took a little bit of time for me to realize that and I went through some quite anxious phases when at some points I was realizing I was completely lost!What I particularly liked was the fact that for my final project I was given the freedom to do it my way: I decided to follow a product management methodology to develop the app I was working on, meaning I spent a lot of time doing discovery before actually starting the development phase, and both the teacher and TA supported me on this initiative.Read Less",ironhack
269102,Rohini,0,NULL,2020,0,"UX UI Designer","A very complete and Interesting Experience even in the lockdown!",10/5/2020,2020-10-05,"UX/UI Design Bootcamp",4.7,5.0,4.0,5.0,"I had no experience in the field of UX UI Designer, today I'm able to have and analyze a User experience from A to Z.Thanks to the teacher who explain very well and were always with us when we needed. They were able to manage even during lockdownthank... Read More you for this wonderful experience!!Read Less",ironhack
269045,"Fanny Sabin",0,NULL,2020,0,,"Amazing experience, highly recommended !",10/2/2020,2020-10-02,"Web Development Bootcamp",5.0,5.0,5.0,5.0,"I attended Ironhack FullTime Web Developement bootcamp and I was totally satisfied with this learning experience. I had no coding experience before taking the course so it was really challenging, but the courses are made not only to give a good baseground... Read More for technical skills but also give you all the tools to prepare you after the bootcamp to go further and continue developing your skills.I had excellent teachers that were highly skilled, always ready to help and really open to new suggestions. The Ironhack staff is also very supportive and always ensures that everyone feels comfortable during the learning process. If I can give some advice, just be sure you take enough time on the prework and you’re ready to be 100% involved in an intense but amazing experience. I highly recommend this bootcamp!Read Less",ironhack
269020,"Charlotte Noguer",0,NULL,2020,0,"CoFounder of Botcave SAS","Awesome Bootcamp",10/1/2020,2020-10-01,"Web Development Bootcamp",5.0,5.0,5.0,5.0,"I has been years since I worked in the tech environment and really wanted to take a part in it.Ironhack helped me understand all those lines, logic and processes behind our web applications.Sure, it was intense, but It has been a long time since I had... Read More been this passionate about a subject, and wow, this feeling when you resolve a bug or when you make everything work... it's just amazing. It was a great time spend with the Ironhack team and my fellow Ironhakers (and even more because our cohort had many women in it!).I loved the group projects and the overall group dynamic, how the teacher and TA where there for us and really helped us and how for each module we had a time to make some feedback to improve our learning process (reviewing the practices that really worked for us, those that worked less, and make suggestions to improve our global experience).Oh, and the ironbeers, even on remote, where a total delight.I'm glad I picked Ironhack, first because I wanted to learn JS , second because they feel concerned about women in tech, and third because they really want to make the bootcamp a great experience and souvenir for you.Read Less",ironhack
